"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет оформление заказа самоката с разными точками входа и данными.","3412","Оформление заказа","tests","Mon Mar 10 16:45:59 MSK 2025","passed","Mon Mar 10 16:46:03 MSK 2025","TestOrderPage","test_order_page","",""
"","1161","Проверка списка FAQ","tests","Mon Mar 10 16:43:37 MSK 2025","passed","Mon Mar 10 16:43:39 MSK 2025","TestMainPage","test_main_page","",""
"","1127","Проверка списка FAQ","tests","Mon Mar 10 16:44:22 MSK 2025","passed","Mon Mar 10 16:44:23 MSK 2025","TestMainPage","test_main_page","",""
"","1180","Проверка списка FAQ","tests","Mon Mar 10 16:44:45 MSK 2025","passed","Mon Mar 10 16:44:46 MSK 2025","TestMainPage","test_main_page","",""
"","1136","Проверка списка FAQ","tests","Mon Mar 10 16:44:56 MSK 2025","passed","Mon Mar 10 16:44:57 MSK 2025","TestMainPage","test_main_page","",""
"","1157","Проверка списка FAQ","tests","Mon Mar 10 16:43:26 MSK 2025","passed","Mon Mar 10 16:43:28 MSK 2025","TestMainPage","test_main_page","",""
"Проверяет оформление заказа самоката с разными точками входа и данными.","3370","Оформление заказа","tests","Mon Mar 10 16:45:32 MSK 2025","passed","Mon Mar 10 16:45:36 MSK 2025","TestOrderPage","test_order_page","",""
"Проверяет оформление заказа самоката с разными точками входа и данными.","3464","Оформление заказа","tests","Mon Mar 10 16:45:46 MSK 2025","passed","Mon Mar 10 16:45:49 MSK 2025","TestOrderPage","test_order_page","",""
"","1120","Проверка списка FAQ","tests","Mon Mar 10 16:44:11 MSK 2025","passed","Mon Mar 10 16:44:12 MSK 2025","TestMainPage","test_main_page","",""
"","1240","Проверка списка FAQ","tests","Mon Mar 10 16:43:48 MSK 2025","passed","Mon Mar 10 16:43:49 MSK 2025","TestMainPage","test_main_page","",""
"Проверяет оформление заказа самоката с разными точками входа и данными.","3357","Оформление заказа","tests","Mon Mar 10 16:46:28 MSK 2025","passed","Mon Mar 10 16:46:32 MSK 2025","TestOrderPage","test_order_page","",""
"","1129","Проверка списка FAQ","tests","Mon Mar 10 16:44:34 MSK 2025","passed","Mon Mar 10 16:44:35 MSK 2025","TestMainPage","test_main_page","",""
"","362","Проверка перехода на главную по лого Самокат","tests","Mon Mar 10 16:43:05 MSK 2025","passed","Mon Mar 10 16:43:06 MSK 2025","TestMainPage","test_main_page","",""
"","1280","Проверка перехода в Дзен по лого Яндекс","tests","Mon Mar 10 16:43:16 MSK 2025","passed","Mon Mar 10 16:43:17 MSK 2025","TestMainPage","test_main_page","",""
